spotify.genre,artist.id,artist.image
country,spotify:artist:7qvsLYsYP0MHD7jkdv6DAG,https://i.scdn.co/image/63c43a8bac4f766b7da2918b805f221716a8119d
country,spotify:artist:3grHWM9bx2E9vwJCdlRv9O,https://i.scdn.co/image/abe4113771170b239989f44b4ac9a83f1c5d7ddd
r&b,spotify:artist:61whxt4O1XSL0DNux0eTtp,https://i.scdn.co/image/fd2237f6711707b4a942d6e6b45c0887a91d2ee5
pop,spotify:artist:4d3yvTptO48nOYTPBcPFZC,https://i.scdn.co/image/d6a2c51e949c8e34265aec955e76d215fd101b0a
pop,spotify:artist:0urTpYCsixqZwgNTkPJOJ4,https://i.scdn.co/image/31b77212da2579812b46439b2f6817a520ab3e18
country,spotify:artist:7mPcfx7PhnBh6n4HMCd61A,https://i.scdn.co/image/7c95c04b391ea7eae48c29f095335803136203c1
pop,spotify:artist:5338fdSzGNOFD4cxAxDTeq,https://i.scdn.co/image/454843ceb95b3e3c3b8088f497c381e7d3e1c70d
country,spotify:artist:1XhhO2dTs2fKyhILj0aam6,https://i.scdn.co/image/d39c05f2c0255f9cece82b2aeca7a97ff4a07cc4
hip hop,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA,https://i.scdn.co/image/76ec3cf457b35bde07e73660036f40fd352d0d6d
country,spotify:artist:0dlwjJe4kg9TgOMN184bJF,https://i.scdn.co/image/42336f0d6e02c05f0a9acf5f77bd3aa20ea01f6e
r&b,spotify:artist:0OUXTnqjvTg4iZ7Lhq6vv7,https://i.scdn.co/image/05de34d5955d88955d63a8202444b1a33d978c6a
country,spotify:artist:4mxWe1mtYIYfP040G38yvS,https://i.scdn.co/image/42c9789b6b6cfd7470fc36b034918362f0216e1b
country,spotify:artist:7CyJIUpcWZK2zFM6gKLKvD,https://i.scdn.co/image/2cdeb03e78fd79dc12eb5c0fc25727878cc2d330
pop,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,https://i.scdn.co/image/f7e39e0ca7a4ba897150247190fb27b6ae6e0318
hip hop,spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,https://i.scdn.co/image/c31d25a84357e3b59378374180c9244dbb964285
country,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn,https://i.scdn.co/image/ed889caaa3d31529677a7f51c8a8eb0554dbd170
dance pop,spotify:artist:3OsUvoKmZA2gw8rETtxGlz,https://i.scdn.co/image/6c6fea8d2010c902673410bbd3aa5b9a9253c135
country,spotify:artist:6OqQbeNe7Pi7Zi7SNTi9ko,https://i.scdn.co/image/1f0e47c3dc0c7ec59378dde0ca9602b68d6b1a62
country,spotify:artist:3qbnxnvUqR14MJ9g8QwZJK,https://i.scdn.co/image/4461d0d364a545ab2b00ac3a1a64604e49c14f8c
country,spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,https://i.scdn.co/image/45bcc46c972bf295223ab99cd8379e8d96015896
country,spotify:artist:2BQVRw9md4UKcGUrDXABCD,https://i.scdn.co/image/bcbedd09caf3d98b17cf88333ce9723e3fcc316f
country,spotify:artist:5vngPClqofybhPERIqQMYd,https://i.scdn.co/image/5f178ec8fc7b61d83030bb5c219be57ebca1d8e5
r&b,spotify:artist:6x9QLdzo6eBZxJ1bHsDkjg,https://i.scdn.co/image/65c4f2d897d65c2236ddc7ab761887910f8ac02f
NA,spotify:artist:67FFKYikvTlvsPNk4NPOYJ,https://i.scdn.co/image/1f4e3c22c29aa7768cd60c0e006927d8c13d65f3
country,spotify:artist:4MPkNgar5uTd8Sqvrr7par,https://i.scdn.co/image/1c9a22d1e5558a362d00e372168fbeb469fc59f9
country,spotify:artist:3P33qFNGBVXl86yQYWspFj,https://i.scdn.co/image/cfee85ff60d9e065c662be730b1bfd17f23eb50c
pop,spotify:artist:0MmnmsAuQKRFpo6vJElcaU,https://i.scdn.co/image/4fb078da2db9b80a9ed4a917efd25ec14bcd5f1c
country,spotify:artist:4XwKU420OWVk38vz1KvH3M,https://i.scdn.co/image/234d093367ba11b18d5e65bb269bc762145944f7
country,spotify:artist:2qFe0FyUMK8XXoyOsfYJr2,https://i.scdn.co/image/7a09f3a1cd2635a6f6e4f64cf2fa2b111a2c9065
country,spotify:artist:4AwLiAGc1rRLrCepj5rdTI,https://i.scdn.co/image/c0927c8647e377228658bfe6fc34acce6ccd6f6d
hip hop,spotify:artist:1QPZhx0asYTBxD5RDqfU49,https://i.scdn.co/image/055b460e3b16a44893067ba6746dccc202d39612
country,spotify:artist:4mxWe1mtYIYfP040G38yvS,https://i.scdn.co/image/42c9789b6b6cfd7470fc36b034918362f0216e1b
country,spotify:artist:3Ay15wt0QChT4Kapsuw5Jt,https://i.scdn.co/image/def325e7f9a1649415f560231926d17cfbe1eb64
hip hop,spotify:artist:2GHclqNVjqGuiE5mA7BEoc,https://i.scdn.co/image/12a8247ab0f88923c7523ca444f402cca39fca62
country,spotify:artist:1XhhO2dTs2fKyhILj0aam6,https://i.scdn.co/image/d39c05f2c0255f9cece82b2aeca7a97ff4a07cc4
country,spotify:artist:4mxWe1mtYIYfP040G38yvS,https://i.scdn.co/image/42c9789b6b6cfd7470fc36b034918362f0216e1b
dance pop,spotify:artist:3OsUvoKmZA2gw8rETtxGlz,https://i.scdn.co/image/6c6fea8d2010c902673410bbd3aa5b9a9253c135
NA,NA,NA
NA,spotify:artist:2bK1rpFhmGkImiZNuUyHVT,https://i.scdn.co/image/d64476e3a35f313f912d26a69509f1478f2c0c36
r&b,spotify:artist:6I6t21SFbxZ7RbQgD5dN7U,https://i.scdn.co/image/0b0fe11c98c4de7e1b0706793d9f52b68c3aa51c
pop,spotify:artist:7r8RF1tN2A4CiGEplkp1oP,https://i.scdn.co/image/c8bc9979554744c06b3c62b7e94b82cd9303ec81
deep contemporary country,spotify:artist:6F0ZVOJymgjutBNRws94qa,https://i.scdn.co/image/3882cac2acd902aca828ca5adf107bd09981f02f
hip hop,spotify:artist:1HwM5zlC5qNWhJtM00yXzG,https://i.scdn.co/image/a164c44d2c4260d5c17df105601d0e9bb76f2ef2
rock,spotify:artist:3PhoLpVuITZKcymswpck5b,https://i.scdn.co/image/8b9b906a508209d627e3b185ab540520ea8c54c6
rock,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://i.scdn.co/image/04396c910d31a6438be6787447514ddb02e9193c
pop,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,https://i.scdn.co/image/d91977cd95ac1b9bdffcc3e3f3af07bd81684dba
country,spotify:artist:64AyHnB0YQfCZFo5etz5vY,https://i.scdn.co/image/670c28867b3f4e24f28455d9589f288a41894657
hip hop,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://i.scdn.co/image/15c446495ae50039ba2bef43172c66240fe0605a
country,spotify:artist:02rd0anEWfMtF7iMku9uor,https://i.scdn.co/image/a9579f0aa58a4a4325598044c62a4b876c1db775
pop,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://i.scdn.co/image/b89746cde0b32ca327222752233cc2c9e1bd4e74
country,spotify:artist:0u2FHSq3ln94y5Q57xazwf,https://i.scdn.co/image/c52bf07a01994e6b502684c4ce3987cd4bd75138
pop,spotify:artist:0TImkz4nPqjegtVSMZnMRq,https://i.scdn.co/image/8dc745553cd6eef30207d629cfaf06a22caf6b7d
country,spotify:artist:3IhWQSrLj8EJjdvjFTpCyo,https://i.scdn.co/image/bd18eea527f0d9cce26d72ded012056dd43c6e62
pop,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://i.scdn.co/image/a54d30761868a51a0629009cb5eafd155b014ca7
punk,spotify:artist:6nDLku5uL3ou60kvCGZorh,https://i.scdn.co/image/ef2843d66c323f827c36c7fb329ab5496ac43ffc
pop,spotify:artist:2HcwFjNelS49kFbfvMxQYw,https://i.scdn.co/image/9239686e480a4a47407d393a2bc18ea070c04d0d
country,spotify:artist:3ltFy7g6KKQPPttsdOMlq3,https://i.scdn.co/image/1f99377924dd098c8faa2f0729d06952224e7ebb
